,vocab,sound,pos,cefr_level,definition
337,bee,biː,noun,B1,a yellow and black flying insect that makes honey and can sting you.
338,beef,biːf,noun,B1,"the flesh of cattle (= cows), eaten as food."
339,beef,biːf,verb,none,to complain.
340,beer,bɪər,noun,A1,an alcoholic drink made from grain and hops (= a type of plant).
341,before,bɪˈfɔːr,preposition,A1,at or during a time earlier than (the thing mentioned).
342,before,bɪˈfɔːr,preposition,B1,in front of.
343,beg,beɡ,verb,B2,to make a very strong and urgent request.
344,begin,bɪˈɡɪn,verb,A1,to start to happen or exist.
345,beginning,bɪˈɡɪn.ɪŋ,noun,A2,the first part of something or the start of something.
346,behave,bɪˈheɪv,verb,B1,to act in a particular way.
347,behaviour,bɪˈheɪ.vjər,noun,B1,the way that someone behaves.
348,behind,bɪˈhaɪnd,preposition,A1,at the back (of).
349,behind,bɪˈhaɪnd,adverb,B1,in the place where someone or something was before.
350,behind,bɪˈhaɪnd,preposition,C1,responsible for or the cause of.
351,behind,bɪˈhaɪnd,noun,none,the part of the body on which a person sits.
352,being,ˈbiː.ɪŋ,noun,C2,a person or thing that exists.
353,belief,bɪˈliːf,noun,B2,the feeling of being certain that something exists or is true.
354,believe,bɪˈliːv,verb,A2,"to think that something is true, correct, or real."
355,bell,bel,noun,B1,an electrical device that makes a ringing sound when you press a button.
356,bell,bel,verb,none,to put a bell or bells on something.
357,belong,bɪˈlɒŋ,verb,B2,to be in the right place or a suitable place.
358,below,bɪˈləʊ,adverb,A1,"in a lower position (than), under."
359,belt,belt,noun,A2,a strip of leather or material worn around the waist to support clothes or for decoration.
360,belt,belt,verb,none,(especially of a vehicle) to travel with great speed.
361,bend,bend,verb,B2,to (cause to) curve.
362,bend,bend,noun,B2,a curved part of something.
363,benefit,ˈben.ɪ.fɪt,noun,B1,"a helpful or good effect, or something intended to help."
364,benefit,ˈben.ɪ.fɪt,verb,B2,to be helped by something or to help someone.
365,bent,bent,verb,none,"past simple and past participle of 
bend ."
366,bent,bent,adjective,none,curved and not straight or flat.
367,bent,bent,noun,none,a natural skill.
368,best,best,adjective,A1,"of the highest quality, or being the most suitable, pleasing, or effective type of thing or person."
369,best,best,adverb,B1,"in the most suitable, pleasing, or satisfactory way, or to the greatest degree."
370,best,best,noun,B1,the most excellent in a group of things or people.
371,best,best,verb,none,to defeat someone in a fight or competition.
372,bet,bet,verb,C1,"to risk money on the result of an event or a competition, such as a horse race, in the hope of winning more money."
373,bet,bet,noun,C2,"an amount of money that you risk on the result of an event or a competition, such as a horse race."
374,better,ˈbet.ər,adjective,A1,"comparative of 
good of a higher standard, or more suitable, pleasing, or effective than other things or people."
375,better,ˈbet.ər,adverb,A2,"in a more suitable, pleasing, or satisfactory way, or to a greater degree."
376,better,ˈbet.ər,noun,none,something that is of a higher standard than something else.
377,better,ˈbet.ər,verb,none,to improve a situation.
378,between,bɪˈtwiːn,preposition,A1,"in or into the space that separates two places, people, or objects."
379,between,bɪˈtwiːn,preposition,B1,among two or more people or things.
380,beyond,biˈjɒnd,preposition,B1,further away in the distance (than something).
381,bicycle,ˈbaɪ.sɪ.kəl,noun,A2,a two-wheeled vehicle that you sit on and move by turning the two pedals (= flat parts you press with your feet).
382,bicycle,ˈbaɪ.sɪ.kəl,verb,none,to ride a bicycle.
383,big,bɪɡ,adjective,A1,large in size or amount.
384,bike,baɪk,noun,A1,a bicycle.
385,bike,baɪk,verb,none,to go somewhere by bicycle.
386,bill,bɪl,noun,A2,"a request for payment of money owed, or the piece of paper on which it is written."
387,bill,bɪl,verb,none,to give or send someone a bill asking for money that they owe for a product or service.
388,billion,ˈbɪl.jən,number,B2,"the number 1,000,000,000."
389,bin,bɪn,noun,B1,a container for waste.
390,bin,bɪn,verb,none,to throw something away.
391,biology,baɪˈɒl.ə.dʒi,noun,A2,the scientific study of the natural processes of living things.
392,bird,bɜːd,noun,A1,"a creature with feathers and wings, usually able to fly."
393,birth,bɜːθ,noun,A2,the time when a baby or young animal comes out of its mother's body.
394,birth,bɜːθ,verb,none,to produce a baby or young animal from your body.
395,birthday,ˈbɜːθ.deɪ,noun,A1,the day that is exactly a year or number of years after a person was born.
396,biscuit,ˈbɪs.kɪt,noun,A1,"a small, flat cake that is dry and usually sweet."
397,bit,bɪt,noun,A2,a small piece or amount of something.
398,bit,bɪt,verb,none,past simple of bite.
399,bite,baɪt,verb,B1,to use your teeth to cut into something or someone.
400,bite,baɪt,noun,B2,the act of biting something.
401,bitter,ˈbɪt.ər,adjective,B2,Someone who is bitter is angry and unhappy because they cannot forget bad things that happened in the past.
402,bitter,ˈbɪt.ər,noun,none,a type of dark brown beer with a bitter taste.
403,black,blæk,adjective,A1,"having the darkest colour there is, like the colour of coal or of a very dark night."
404,black,blæk,noun,A2,the colour of coal or of the sky on a very dark night.
405,black,blæk,verb,none,to put a black substance on something or to make something black.
406,blame,bleɪm,verb,B1,to say or think that someone or something did something wrong or is responsible for something bad happening.
407,blame,bleɪm,noun,B2,the situation in which people say or think that someone or something did something wrong or is responsible for something bad happening.
408,blank,blæŋk,adjective,B1,"empty or clear, or containing no information or mark."
409,blank,blæŋk,verb,none,to ignore someone or pretend that you have not seen them or do not know them.
410,blank,blæŋk,noun,none,"a space in a piece of writing or on a form, left empty for information to be added."
411,blind,blaɪnd,adjective,B1,unable to see.
412,blind,blaɪnd,verb,none,"to make someone unable to see, permanently or for a short time."
413,blind,blaɪnd,noun,none,"a cover for a window made of a single piece or strips of cloth, paper, or plastic that is pulled up or down by a string."
414,blind,blaɪnd,adverb,none,"If something or someone is tested blind, either the people being tested or the person testing them, or both, do not know what is being tested.."
415,block,blɒk,noun,A2,"the distance along a street from where one road crosses it to the place where the next road crosses it, or one part of a street like this, especially in a town or city."
416,block,blɒk,verb,B2,to prevent movement through something.
417,blog,blɒɡ,noun,B1,"a regular record of your thoughts, opinions, or experiences that you put on the internet for other people to read."
418,blog,blɒɡ,verb,B1,to write or add material to a blog.
419,blonde,blɒnd,adjective,A2,with pale yellow or gold hair.
420,blonde,blɒnd,noun,none,a woman with pale yellow or gold hair.
421,blood,blʌd,noun,A2,"the red liquid that is sent around the body by the heart, and carries oxygen and important substances to organs and tissue, and removes waste products."
422,blood,blʌd,verb,none,to give someone their first experience of something.
423,blow,bləʊ,verb,B1,"to move and make currents of air, or to be moved or make something move on a current of air."
424,blow,bləʊ,noun,C2,a hard hit with a hand or a weapon.
425,blue,bluː,adjective,A1,"of the colour of the sky without clouds on a bright day, or a darker or lighter type of this."
426,blue,bluː,noun,A2,"the colour of the sky without clouds on a bright day, or a darker or lighter type of this."
427,board,bɔːd,noun,B2,"a thin, flat piece of cut wood or other hard material, often used for a particular purpose."
428,board,bɔːd,verb,B1,"to get onto or allow people to get onto a boat, train, or aircraft."
429,boat,bəʊt,noun,A1,a small vehicle for travelling on water.
430,body,ˈbɒd.i,noun,A1,the whole physical structure that forms a person or animal.
431,boil,bɔɪl,verb,A2,"to reach, or cause something to reach, the temperature at which a liquid starts to turn into a gas."
432,boil,bɔɪl,noun,none,"a painful swelling on the skin that is filled with pus (= thick, yellow liquid)."
433,bomb,bɒm,noun,B1,a weapon that explodes and is used to kill or hurt people or to damage buildings.
434,bomb,bɒm,verb,B1,to drop bombs on something.
435,bond,bɒnd,noun,B2,a close connection joining two or more people.
436,bond,bɒnd,verb,none,"to stick materials together, especially using glue, or to be stuck together like this."
437,bone,bəʊn,noun,B1,any of the hard parts inside a human or animal that make up its frame.
438,bone,bəʊn,verb,none,to have sex with someone.
439,book,bʊk,noun,A1,a written text that can be published in printed or electronic form.
440,book,bʊk,verb,A2,"to arrange to have a seat, room, performer, etc. at a particular time in the future."
441,boot,buːt,noun,A1,a type of shoe that covers the whole foot and the lower part of the leg.
442,boot,buːt,verb,none,to kick someone or something hard with the foot.
443,border,ˈbɔː.dər,noun,B1,a line that has been agreed to divide one country from another.
444,border,ˈbɔː.dər,verb,none,to form a line around the edge of something.
445,bored,bɔːd,adjective,A1,feeling unhappy because something is not interesting or because you have nothing to do.
446,boring,ˈbɔː.rɪŋ,adjective,A1,not interesting or exciting.
447,born,bɔːn,verb,A2,"to come out of a mother's body, and start to exist."
448,born,bɔːn,adjective,none,having a natural ability or liking.
449,borrow,ˈbɒr.əʊ,verb,A2,to get or receive something from someone with the intention of giving it back after a period of time.
450,boss,bɒs,noun,A2,the person who is in charge of an organization and who tells others what to do.
451,boss,bɒs,verb,none,to tell someone what to do a lot.
452,boss,bɒs,adjective,none,very good or excellent.
453,both,bəʊθ,predeterminer,A1,(referring to) two people or things together.
454,bother,ˈbɒð.ər,verb,B2,to make the effort to do something.
455,bother,ˈbɒð.ər,noun,none,trouble or problems.
456,bother,ˈbɒð.ər,exclamation,none,used to express anger.
457,bottle,ˈbɒt.əl,noun,A2,"a container for liquids, usually made of glass or plastic, with a narrow neck."
458,bottle,ˈbɒt.əl,verb,none,to put something into bottles or jars.
459,bottom,ˈbɒt.əm,noun,A1,the lowest part of something.
460,bowl,bəʊl,noun,A2,"a round container that is open at the top and is deep enough to hold fruit, sugar, etc.."
461,bowl,bəʊl,verb,none,to roll a ball along a smooth surface during a game of bowls or bowling.
462,box,bɒks,noun,A1,a square or rectangular container with stiff sides and sometimes a lid.
463,box,bɒks,verb,none,to fight someone in the sport of boxing.
464,boy,bɔɪ,noun,A1,"a male child or, more generally, a male of any age."
465,boy,bɔɪ,exclamation,none,"used to express excitement, worry, disappointment, etc. or to emphasize something."
466,boyfriend,ˈbɔɪ.frend,noun,A2,a man or boy that a person is having a romantic or sexual relationship with.
467,boyfriend,ˈbɔɪ.frend,adjective,none,"used to refer to a loose, comfortable style of clothing for women that is based on men's clothes."
468,brain,breɪn,noun,A2,"the organ inside the head that controls thought, memory, feelings, and activity."
469,brain,breɪn,verb,none,to hit someone on the head.
470,branch,brɑːntʃ,noun,B2,a part of something larger.
471,branch,brɑːntʃ,verb,none,to produce branches.
472,brand,brænd,noun,B2,a type of product made by a particular company and sold under a particular name.
